Fecha; Likes ; Followers 
11/10/15; 5.257.308   ; 1.751.889   
12/10/15; 5.264.520   ; 1.753.909   
13/10/15; 5.270.684   ; 1.755.837   
14/10/15; 5.284.146   ; 1.757.484   
15/10/15; 5.294.075   ; 1.759.199   
16/10/15; 5.302.153   ; 1.760.034   
17/10/15; 5.307.710   ; 1.760.963   
18/10/15; 5.313.009   ; 1.762.701   
19/10/15; 5.318.710   ; 1.764.158   
20/10/15; 5.324.390   ; 1.766.732   
21/10/15; 5.328.651   ; 1.768.232   
22/10/15; 5.332.600   ; 1.769.108   
23/10/15; 5.338.893   ; 1.771.225   
24/10/15; 5.344.554   ; 1.773.030   
25/10/15; 5.349.024   ; 1.775.138   
26/10/15; 5.353.361   ; 1.776.999   
27/10/15; 5.358.780   ; 1.778.649   
28/10/15; 5.364.762   ; 1.780.269   
29/10/15; 5.369.668   ; 1.781.754   
30/10/15; 5.373.472   ; 1.783.329   
31/10/15; 5.380.857   ; 1.785.172   
1/11/15; 5.386.312   ; 1.786.531   
2/11/15; 5.391.436   ; 1.788.814   
3/11/15; 5.397.081   ; 1.790.419   
4/11/15; 5.403.700   ; 1.792.445   
5/11/15; 5.409.548   ; 1.794.336   
6/11/15; 5.413.232   ; 1.795.944   
7/11/15; 5.419.579   ; 1.797.446   
8/11/15; 5.426.968   ; 1.800.357   
9/11/15; 5.434.384   ; 1.802.108   
10/11/15; 5.440.062   ; 1.804.069   
11/11/15; 5.444.376   ; 1.805.531   
12/11/15; 5.449.786   ; 1.806.775   
13/11/15; 5.455.470   ; 1.808.051   
14/11/15; 5.462.071   ; 1.809.980   
15/11/15; 5.466.214   ; 1.811.879   
16/11/15;; 1.813.660   
17/11/15; 5.481.252   ; 1.815.316   
18/11/15; 5.489.059   ; 1.816.616   
19/11/15; 5.492.649   ; 1.817.683   
20/11/15; 5.500.941   ; 1.821.532   
21/11/15; 5.505.698   ; 1.825.173   
22/11/15; 5.520.265   ; 1.827.007   
23/11/15; 5.530.430   ; 1.829.141   
24/11/15; 5.532.711   ; 1.829.540   